token	ja	zh	ko	note
Ribagorza	リバゴルザ	里巴戈尔扎	리바고자	by rule
Ribash	リバス	里巴斯	리바스	by rule
Ribbing	リビング	里宾	리빙	by rule
Ribeira	リベイラ	里贝伊拉	리베이라	by rule
Ribeiro	リベイロ	里贝罗	리베이로	attested on Wikidata (ja 3x, zh 5x)
Rica	リカ	里卡	리카	by rule
Ricard	リカール	里卡尔德	리카르드	attested on Wikidata (ja 2x, zh 0x)
Ricardo	リカルド	里卡多	리카르도	attested on Wikidata (ja 21x, zh 6x)
Riccardo	リッカルド	里卡尔多	리카르도	attested on Wikidata (ja 15x, zh 4x)
Ricchard	リカルド	里卡尔德	리차르드	by rule
Ricfried	リクフリエド	里克夫里埃德	리크프리에드	by rule
Rich	リッチ	里奇	리츠	attested on Wikidata (ja 24x, zh 2x)
Richard	リチャード	理查德	리차르드	
Richardsen	リチャードセン	理查德森	리차르드센	composed: Richard + -sen
Richardson	リチャードソン	理查德松	리차르드손	composed: Richard + -son
Riche	リッシュ	里凯	리체	attested on Wikidata (ja 2x, zh 0x)
Richenza	リケンザ	里肯扎	리첸자	by rule
Richey	リケイ	里凯伊	리체이	by rule
Richmond	リッチモンド	里士满	리츠몬드	attested on Wikidata (ja 11x, zh 3x)
Richomeres	リコメレス	里科梅雷斯	리초메레스	by rule
Richter	リヒター	里克特	리츠테르	attested on Wikidata (ja 8x, zh 3x)
Rick	リック	里克	리크	attested on Wikidata (ja 26x, zh 5x)
Ricky	リッキー	瑞奇	리키	attested on Wikidata (ja 9x, zh 3x)
rico	リコ	里科	리코	by rule
Ridder	リデル	里德尔	리데르	by rule
Riegner	リエグネル	里埃格内尔	리엑네르	by rule
Rier	リエル	里埃尔	리에르	by rule
Ries	リース	里埃斯	리에스	attested on Wikidata (ja 5x, zh 0x)
Ries-Wiener	リエスヴィエネル	里埃斯维埃内尔	리에스우이에네르	by rule
Riess	リース	里埃斯	리에스	attested on Wikidata (ja 2x, zh 0x)
RIFAI	リファイ	里法伊	리파이	by rule
Rifai	リファイ	里法伊	리파이	by rule
Rig	リグ	里格	릭	by rule
rigoberto	リゴベルト	里戈贝尔托	리고베르토	by rule
Rigsraad	リグスロード	里格斯罗德	릭스라아드	by rule
Riiber	リイベル	里伊贝尔	리이베르	by rule
Riipinen	リイピネン	里伊皮嫩	리이피넨	by rule
Riis	リース	里伊斯	리이스	attested on Wikidata (ja 2x, zh 0x)
Riitta	リーッタ	丽塔	리이타	attested on Wikidata (ja 2x, zh 2x)
Rijin	リイン	里因	리진	by rule
Rijswijck	リイスヴィイク	里伊斯维伊克	리즈스위즈크	by rule
Rikard	リカルド	里卡尔德	리카르드	by rule
Rikardine	リカルディネ	里卡尔迪内	리카르디네	by rule
Rikardsen	リカルドセン	里卡尔德森	리카르드센	composed: Rikard + -sen
Rimeon	リメオン	里梅翁	리메온	by rule
Rimestad	リメスタド	里梅斯塔德	리메스타드	by rule
Rinaldo	リナルド	里纳尔多	리날도	by rule
Ring	リング	林	링	by rule
Ringelenberg	リンゲレンベルグ	林盖伦贝尔格	리에렌베르그	by rule
Ringen	リンゲン	林根	리엔	by rule
Ringerike	リンゲリケ	林盖里凯	리에리케	by rule
Ringheim	リングヘイム	林赫伊姆	링헤임	by rule
Ringja	リングヤ	林雅	링자	by rule
Ringnes	リングネス	林内斯	링네스	by rule
Ringstad	リングスタド	林斯塔德	링스타드	by rule
Rinkin	リンキン	林金	린킨	by rule
Rio	リオ	里奥	리오	by rule
Ripuaires	リプアイレス	里普艾雷斯	리퐈이레스	by rule
Risa	リサ	里萨	리사	by rule
Risager	リサゲル	里萨盖尔	리사게르	by rule
RISANG	リサング	里桑	리상	by rule
Risen	リセン	里森	리센	composed by rule: Ri + -sen
Riskjell	リシェル	里谢尔	리셀르	by rule
Rita	リタ	丽塔	리타	attested on Wikidata (ja 23x, zh 2x)
Ritschel	リトシェル	里特谢尔	리츠첼	by rule
Ritzy	リトジ	里特吉	리트지	by rule
Rivero	リベロ	里韦罗	리베로	attested on Wikidata (ja 2x, zh 0x)
Riveros	リヴェロス	里韦罗斯	리베로스	by rule
Rivington	リヴィングトン	里文通	리빙톤	by rule
RM	ルム	尔姆	르므	by rule
Rm	ルム	尔姆	르므	by rule
RM.	ルム	尔姆	르므	by rule
RM.NGB	ルムングブ	尔姆恩格布	르므으브	by rule
RM.Ngb.	ルムングブ	尔姆恩格布	르므으브	by rule
RM.SUMODININGRAT	ルムスモディニングラト	尔姆苏莫迪宁拉特	르므수모디닝라트	by rule
RMNg.	ルムング	尔姆恩格	르므으	by rule
RMNgb	ルムングブ	尔姆恩格布	르므으브	by rule
RMT	ルムト	尔姆特	르므트	by rule
Rn	ルン	尔恩	르느	by rule
RNgb	ルングブ	尔恩格布	르으브	by rule
RNS	ルンス	尔恩斯	르느스	by rule
Roa'	ロア	罗阿	로아	by rule
Roald	ロアルド	罗阿尔德	로알드	by rule
Roaldson	ロアルドソン	罗阿尔德松	로알드손	composed by rule: Roald + -son
Roar	ロアル	罗阿尔	로아르	by rule
Robbins	ロビンス	罗宾斯	로빈스	by rule
Robby	ロビー	罗比	로비	attested on Wikidata (ja 4x, zh 0x)
Robert	ロバート	罗伯特	로베르트	attested on Wikidata (ja 902x, zh 262x)
ROBERTO	ロベルト	罗贝尔托	로베르토	by rule
Roberto	ロベルト	罗伯托	로베르토	attested on Wikidata (ja 50x, zh 12x)
Roberts	ロバーツ	罗伯茨	로베르츠	attested on Wikidata (ja 62x, zh 20x)
Robertson	ロバートソン	罗伯逊	로베르촌	attested on Wikidata (ja 35x, zh 7x)
Robertsson	ロベルトソン	罗贝尔特松	로베르촌	composed by rule: Robert + -sson
Robin	ロビン	罗宾	로빈	by rule
Robinson	ロビンソン	罗宾松	로빈손	composed by rule: Robin + -son
Robrecht	ロブレクト	罗布雷克特	로브레츠트	by rule
Robrt	ロブルト	罗布尔特	로브르트	by rule
Robyn	ロビン	罗宾	로빈	by rule
Rocafull	ロカフル	罗卡富尔	로카풀르	by rule
Roccagiovine	ロカギオヴィネ	罗卡吉奥维内	로카기오비네	by rule
Rocha	ローチャ	罗卡	로차	attested on Wikidata (ja 2x, zh 0x)
Rochechouart	ロケコウアルト	罗什舒阿尔	로체추아르트	attested on Wikidata (ja 0x, zh 2x)
Rochefort	ロシュフォール	罗凯福尔特	로체포르트	attested on Wikidata (ja 3x, zh 0x)
Rochel	ロケル	罗凯尔	로첼	by rule
Rochim	ロキム	罗基姆	로침	by rule
Rocke	ロケ	罗凯	로케	by rule
Rockstro	ロクストロ	罗克斯特罗	로크스트로	by rule
Rodda	ロダ	罗达	로다	by rule
Roddy	ロディ	罗迪	로디	by rule
RODE	ロデ	罗德	로데	by rule
Roderich	ローデリヒ	罗德里克	로데리츠	attested on Wikidata (ja 2x, zh 0x)
Roderick	ロデリック	罗德里克	로데리크	attested on Wikidata (ja 13x, zh 3x)
Roderigo	ロデリゴ	罗德里戈	로데리고	by rule
Rodez	ロデズ	罗德兹	로데즈	by rule
Rodim	ロディム	罗迪姆	로딤	by rule
Rodo	ロド	罗多	로도	by rule
Rodolf	ロドルフ	罗多尔夫	로돌프	by rule
Rodolfo	ロドルフォ	鲁道夫	로돌포	attested on Wikidata (ja 8x, zh 5x)
Rodolphe	ロドルフ	罗多尔普赫	로돌페	attested on Wikidata (ja 2x, zh 0x)
Rodrigo	ロドリゴ	罗德里戈	로드리고	by rule
Rodrigues	ロドリゲス	罗德里格斯	로드리궤스	attested on Wikidata (ja 7x, zh 4x)
Rodriguez	ロドリゲス	罗德里格斯	로드리궤즈	attested on Wikidata (ja 7x, zh 8x)
Rodríguez	ロドリゲス	罗德里格斯	로드리궤즈	attested on Wikidata (ja 17x, zh 4x)
Rodsteen	ロドステエン	罗德斯特恩	로드스틴	by rule
Rodulfsson	ロドルフソン	罗杜尔夫松	로둘프손	composed by rule: Rodulf + -sson
Rodulv	ロドルヴ	罗杜尔夫	로둘브	by rule
Roe	ロー	罗埃	뢰	attested on Wikidata (ja 3x, zh 0x)
Roebai	ロエバイ	罗埃巴伊	뢰바이	by rule
Roelofsz	ロエロフスズ	罗埃洛夫斯兹	뢰로프스	by rule
Roelofszoon	ロエロフスゾオン	罗埃洛夫斯佐翁	뢰로프순	by rule
Roergue	ロエルグエ	罗埃尔古埃	뢰르궤	by rule
Roersen	ロエルセン	罗埃尔森	뢰르센	composed by rule: Roer + -sen
Roeve	ロエヴェ	罗埃韦	뢰베	by rule
Rofingi	ロフィンギ	罗芬吉	로피이	by rule
Rofrit	ロフリト	罗夫里特	로프리트	by rule
Rogaland	ロガランド	罗加兰德	로가란드	by rule
Rogallach	ロガラク	罗加拉克	로갈라츠	by rule
Rogawa	ロガヴァ	罗加瓦	로가와	by rule
Roger	ロジャー	罗杰	로게르	attested on Wikidata (ja 115x, zh 37x)
roger	ロゲル	罗盖尔	로게르	by rule
Rogers	ロジャース	罗杰斯	로게르스	attested on Wikidata (ja 29x, zh 14x)
Rogert	ロゲルト	罗盖尔特	로게르트	by rule
Rogièr	ロギエル	罗吉埃尔	로기에르	by rule
Rogndalen	ログンダレン	罗格恩达伦	록느다렌	by rule
Rognlid	ログンリド	罗格恩利德	록느리드	by rule
Rognvald	ログンヴァルド	罗格恩瓦尔德	록느발드	by rule
Rognvaldson	ログンヴァルドソン	罗格恩瓦尔德松	록느발드손	composed by rule: Rognvald + -son
Rogvolodovich	ログヴォロドヴィク	罗格沃洛多维克	록보로도비츠	by rule
Rohan	ロアン	罗汉	로한	attested on Wikidata (ja 15x)
Roi	ロイ	罗伊	로이	by rule
roi	ロイ	罗伊	로이	by rule
Roine	ロイネ	罗伊内	로이네	by rule
Rois	ロイス	罗伊斯	로이스	by rule
Roisin	ロイシン	罗伊辛	로이신	by rule
Roiz	ロイズ	罗伊兹	로이즈	by rule
Rojas	ロハス	罗哈斯	로자스	attested on Wikidata (ja 4x, zh 2x)
Rojo	ロホ	罗约	로조	attested on Wikidata (ja 3x, zh 0x)
Rokeach	ロケアク	罗凯阿克	로케아츠	by rule
Rokes	ロケス	罗凯斯	로케스	by rule
Roland	ローランド	罗兰	로란드	attested on Wikidata (ja 22x, zh 10x)
Rolandina	ロランディナ	罗兰迪纳	로란디나	by rule
Rolando	ロランド	罗兰多	로란도	by rule
Rolandsdotter	ロランドスドッテル	罗兰德斯多特	로란드스도테르	composed by rule: Rolands + -dotter
Rolandsson	ロランドソン	罗兰德松	로란드손	composed by rule: Roland + -sson
Rolf	ロルフ	罗尔夫	롤프	by rule
Rolland	ローランド	罗兰	롤란드	attested on Wikidata (ja 3x, zh 4x)
Rolleiv	ロレイヴ	罗莱伊夫	롤레입	by rule
Rollo	ロロ	罗洛	롤로	by rule
Rolvsson	ロルヴソン	罗尔夫松	롤브손	composed by rule: Rolv + -sson
Romagna	ロマグナ	罗马格纳	로막나	by rule
Roman	ロマン	罗曼	로만	by rule
Romanework	ロマネヴォルク	罗马内沃尔克	로마네워르크	by rule
romano	ロマノ	罗马诺	로마노	by rule
Romanorum	ロマノルム	罗马诺鲁姆	로마노룸	by rule
Romanos	ロマノス	罗马诺斯	로마노스	by rule
Romans	ロマンス	罗曼斯	로만스	by rule
ROMAULI	ロマウリ	罗马乌利	로마우리	by rule
Rome	ロメ	罗梅	로메	by rule
Romerike	ロメリケ	罗梅里凯	로메리케	by rule
Romero	ロメロ	罗梅罗	로메로	by rule
Romina	ロミナ	罗米纳	로미나	by rule
Romme	ロメ	罗梅	롬메	by rule
Romo	ロモ	罗莫	로모	by rule
Romuald	ロムアルト	罗穆阿尔德	로뫌드	attested on Wikidata (ja 2x)
Romualda	ロムアルダ	罗穆阿尔达	로뫌다	by rule
Ron	ロン	罗恩	론	attested on Wikidata (ja 32x, zh 12x)
Ronald	ロナルド	罗纳德	로날드	attested on Wikidata (ja 46x, zh 23x)
Ronaldo	ロナウド	罗纳尔多	로날도	attested on Wikidata (ja 4x, zh 3x)
Ronan	ローナン	罗南	로난	attested on Wikidata (ja 5x, zh 4x)
Rong	容	荣	롱	attested on Wikidata (ja 2x, zh 2x)
Rongding	ロングディング	龙丁	롱딩	by rule
Ronggo	ロングゴ	龙戈	로오	by rule
Roning	ロニング	罗宁	로닝	by rule
Ronneberg	ロンネベルグ	龙内贝格	론네베르그	the un-accented spelling Geni also carries
Ronnie	ロニー	罗尼	론니에	attested on Wikidata (ja 15x, zh 4x)
Ronning	ロニング	罗宁	론닝	by rule
Ronny	ロニー	罗尼	론니	attested on Wikidata (ja 3x, zh 0x)
Ronokoesoemo	ロノコエソエモ	罗诺科埃索埃莫	로노쾨쇠모	by rule
Ronokusumo	ロノクスモ	罗诺库苏莫	로노쿠수모	by rule
Ronopoespito	ロノポエスピト	罗诺波埃斯皮托	로노푀스피토	by rule
Ronopradopo	ロノプラドポ	罗诺普拉多波	로노프라도포	by rule
Ronowidodo	ロノヴィドド	罗诺维多多	로노위도도	by rule
Rood	ロオド	罗奥德	루드	by rule
Roode	ロオデ	罗奥德	루데	by rule
Roodtje	ロオドトイェ	罗奥德特耶	루드체	by rule
Roos	ルース	罗奥斯	루스	attested on Wikidata (ja 4x)
Roosdiono	ロオスディオノ	罗奥斯迪奥诺	루스디오노	by rule
Roosevelt	ルーズベルト	罗斯福	루세벨트	attested on Wikidata (ja 47x, zh 8x)
Roosheroe	ロオスヘロエ	罗奥斯赫罗埃	루세뢰	by rule
Rooskandar	ロオスカンダル	罗奥斯坎达尔	루스칸다르	by rule
Roosseno	ロオセノ	罗奥塞诺	루세노	by rule
Roostamadji	ロオスタマドイ	罗奥斯塔马德伊	루스타마지	by rule
Roostanti	ロオスタンティ	罗奥斯坦蒂	루스탄티	by rule
Root	ルート	罗奥特	루트	attested on Wikidata (ja 9x, zh 0x)
Roricon	ロリコン	罗里孔	로리콘	by rule
Roro	ロロ	罗罗	로로	by rule
Ros	ロス	罗斯	로스	by rule
Rosa	ローザ	罗莎	로사	attested on Wikidata (ja 21x, zh 5x)
Rosalia	ロザリア	罗萨利阿	로사리아	attested on Wikidata (ja 4x, zh 0x)
Rosalie	ロザリー	罗萨利埃	로사리에	attested on Wikidata (ja 8x, zh 0x)
Rosamond	ロザモンド	罗萨蒙德	로사몬드	attested on Wikidata (ja 4x, zh 0x)
Rosanna	ロザンナ	罗萨纳	로산나	attested on Wikidata (ja 4x, zh 0x)
Rosanne	ロサネ	罗萨内	로산네	by rule
Rosario	ロサリオ	罗萨里奥	로사리오	by rule
Roscoe	ロスコー	羅斯科	로스쾨	attested on Wikidata (ja 10x, zh 4x)
Rose	ローズ	罗斯	로세	attested on Wikidata (ja 69x, zh 12x)
Rosella	ロゼッラ	罗塞拉	로셀라	attested on Wikidata (ja 2x, zh 0x)
Roselyn	ロセリン	罗塞林	로세린	by rule
Rosemary	ローズマリー	罗斯玛丽	로세마리	attested on Wikidata (ja 15x, zh 3x)
Rosemond	ロセモンド	罗塞蒙德	로세몬드	by rule
Rosen	ローゼン	罗森	로센	attested on Wikidata (ja 18x, zh 7x)
Rosenberg	ローゼンバーグ	罗森伯格	로센베르그	attested on Wikidata (ja 10x, zh 6x)
Rosenblad	ロセンブラド	罗森布拉德	로센브라드	by rule
Rosenborg	ローセンボー	罗森博尔格	로센보르그	attested on Wikidata (ja 2x)
Rosendahl	ロセンダル	罗森达尔	로센다흐르	by rule
Rosendufva	ロセンドフヴァ	罗森杜夫瓦	로센두프바	by rule
Rosenfelder	ロセンフェルデル	罗森费尔德尔	로센펠데르	by rule
Rosenhamer	ロセンハメル	罗森哈梅尔	로센하메르	by rule
Rosenheim	ローゼンハイム	罗森赫伊姆	로센헤임	attested on Wikidata (ja 2x, zh 0x)
Rosenius	ロセニウス	罗塞尼乌斯	로세뉴스	by rule
Rosenkrantz	ローゼンクランツ	罗森克兰特兹	로센크란트즈	attested on Wikidata (ja 2x, zh 0x)
Rosensparre	ロセンスパレ	罗森斯帕雷	로센스파르레	by rule
Rosenstein	ローゼンシュタイン	罗森斯特因	로센스테인	attested on Wikidata (ja 3x)
Rosenthal	ローゼンタール	罗森塔尔	로센탈	attested on Wikidata (ja 4x, zh 2x)
Roser	ロセル	罗塞尔	로세르	by rule
Rosheim	ロスヘイム	罗斯赫伊姆	로세임	by rule
Rosina	ロジーナ	罗西纳	로시나	attested on Wikidata (ja 2x)
Rosland	ロスランド	罗斯兰德	로스란드	by rule
Ross	ロス	罗斯	로스	by rule
Rossavig	ロサヴィグ	罗萨维格	로사빅	by rule
Rossavik	ロサヴィク	罗萨维克	로사비크	by rule
Rossvik	ロスヴィク	罗斯维克	로스비크	by rule
Rosså	ロソー	罗索	로소	by rule
Rostaing	ロスタイング	罗斯塔因	로스타잉	by rule
Rostisl.	ロスティスル	罗斯蒂斯尔	로스티스르	by rule
Rostislav	ロスチスラフ	罗斯季斯拉夫	로스티스랍	attested on Wikidata (ja 10x, zh 2x)
Rostislavaitis	ロスティスラヴァイティス	罗斯蒂斯拉瓦伊蒂斯	로스티스라바이티스	by rule
Rostock	ロストク	罗斯托克	로스토크	by rule
Rostrup	ロストルプ	罗斯特鲁普	로스트루프	by rule
Roswell	ロズウェル	罗斯韦尔	로스웨르르	attested on Wikidata (ja 7x, zh 0x)
Rosén	ロセン	罗森	로센	by rule
Rotbald	ロトバルド	罗特巴尔德	로트발드	by rule
Rotbaud	ロトバウド	罗特巴乌德	로트바우드	by rule
Rotbert	ロトベルト	罗特贝尔特	로트베르트	by rule
Rotfeld	ロトフェルド	罗特费尔德	로트펠드	by rule
Roth	ロス	罗斯	로트	attested on Wikidata (ja 10x, zh 4x)
Rothenburg	ロテンブルグ	罗滕布尔格	로텐부르그	by rule
Rotheram	ロテラム	罗特拉姆	로테람	by rule
Rothkirch	ロトキルク	罗特基尔克	로트키르츠	by rule
Rothmann	ロトマンン	罗特曼	로트만느	by rule
Rothof	ロトフ	罗托夫	로토프	by rule
Rothoff	ロトフ	罗托夫	로토프	by rule
Rothschild	ロスチャイルド	罗斯柴尔德	로트실드	attested on Wikidata (ja 31x, zh 3x)
Rothstein	ロススタイン	罗特斯特因	로트스테인	attested on Wikidata (ja 2x, zh 0x)
Rotkirch	ロトキルク	罗特基尔克	로트키르츠	by rule
Rotrude	ロトルデ	罗特鲁德	로트루데	by rule
Rott	ロト	罗特	로트	by rule
Rou	ロウ	罗乌	루	by rule
Roucy	ルシー	罗乌西	루키	attested on Wikidata (ja 2x, zh 0x)
Rougé	ロウゲ	罗乌盖	루게	by rule
Rova	ロヴァ	罗瓦	로바	by rule
Rowe	ロウ	罗韦	로웨	attested on Wikidata (ja 6x, zh 0x)
Rowland	ローランド	罗兰	로우란드	attested on Wikidata (ja 17x, zh 5x)
Roxana	ロクサナ	罗克斯阿纳	로그사나	attested on Wikidata (ja 2x, zh 0x)
Roxcerry	ロクスセリ	罗克斯塞里	로그스케르리	by rule
Roxström	ロクスストロム	罗克斯斯特罗姆	로그스스트룀	by rule
Roy	ロイ	罗伊	로이	by rule
Royal	ロイヤル	罗亚尔	로얄	attested on Wikidata (ja 2x, zh 2x)
Royewensky	ロイェヴェンスキ	罗耶文斯基	로예웨느스키	by rule
Rozala	ロザラ	罗扎拉	로자라	
Roët	ロエト	罗埃特	로에트	by rule
RP.	ルプ	尔普	르프	by rule
rshtouni	ルストウニ	尔斯托乌尼	르스투니	by rule
RSO	ルソ	尔索	르소	by rule
RT	ルト	尔特	르트	by rule
Rt	ルト	尔特	르트	by rule
RTA.	ルタ	尔塔	르타	by rule
RTM.	ルトム	尔特姆	르트므	by rule
Ru	ル	鲁	루	by rule
Rua	ルア	鲁阿	롸	by rule
Ruadrí	ルアドリ	鲁阿德里	롸드리	by rule
Ruaidrí	ルアイドリ	鲁艾德里	롸이드리	by rule
Ruanaid	ルアナイド	鲁阿纳伊德	롸나이드	by rule
Rubalcaba	ルバルカバ	鲁巴尔卡巴	루발카바	by rule
Ruben	ルーベン	鲁本	루벤	attested on Wikidata (ja 9x, zh 2x)
Ruby	ルビー	鲁比	루비	attested on Wikidata (ja 9x, zh 2x)
Ruchi	ルキ	鲁基	루치	by rule
Rucitawangi	ルシタヴァンギ	鲁西塔万吉	루키타와이	by rule
Rud	ルド	鲁德	루드	by rule
Rudbeck	ルドベク	鲁德贝克	루드베크	by rule
Rudbeckia	ルドベキア	鲁德贝基阿	루드베키아	by rule
Rudbeckius	ルドベキウス	鲁德贝基乌斯	루드베큐스	by rule
Rudbek	ルドベク	鲁德贝克	루드베크	by rule
Rudbera	ルドベラ	鲁德贝拉	루드베라	by rule
Rudberus	ルドベルス	鲁德贝鲁斯	루드베루스	by rule
Ruddell	ルデル	鲁德尔	루델르	by rule
Ruddy	ルディ	鲁迪	루디	by rule
Rudenschiöld	ルデンシオルド	鲁登西奥尔德	루덴시욀드	by rule
Rudenschöld	ルデンショルド	鲁登肖尔德	루덴쇨드	by rule
Rudgal	ルドガル	鲁德加尔	루드갈	by rule
Rudham	ルドハム	鲁德哈姆	루드함	by rule
RUDI	ルディ	鲁迪	루디	by rule
Rudi	ルディ	鲁迪	루디	by rule
Rudianto	ルディアント	鲁迪安托	루디안토	by rule
Rudolf	ルドルフ	鲁道夫	루돌프	attested on Wikidata (ja 117x, zh 20x)
Rudolph	ルドルフ	鲁道夫	루돌프	
Rudrasena	ルドラセナ	鲁德拉塞纳	루드라세나	by rule
Rudrasimha	ルドラシムハ	鲁德拉西姆哈	루드라심하	by rule
Rudyard	ラドヤード	鲁迪阿尔德	루댜르드	attested on Wikidata (ja 2x, zh 0x)
Rudén	ルデン	鲁登	루덴	by rule
Rueben	ルエベン	鲁埃本	뤠벤	by rule
Ruffin	ラフィン	鲁芬	루핀	attested on Wikidata (ja 5x, zh 4x)
Rufius	ルフィウス	鲁菲乌斯	루퓨스	by rule
Rugalf	ルガルフ	鲁加尔夫	루갈프	by rule
Rugalfsson	ルガルフソン	鲁加尔夫松	루갈프손	composed by rule: Rugalf + -sson
Ruggero	ルッジェーロ	鲁杰罗	루게로	attested on Wikidata (ja 8x, zh 3x)
Rui	ルイ	芮	뤼	attested on Wikidata (ja 2x, zh 2x)
Ruiz	ルイス	鲁伊斯	뤼즈	attested on Wikidata (ja 16x, zh 2x)
Rukhlia	ルクリア	鲁克利阿	루크리아	by rule
Rukmini	ルクミニ	鲁克米尼	루크미니	by rule
Rukn	ルクン	鲁克恩	루크느	by rule
Ruler	ルレル	鲁莱尔	루레르	by rule
ruler	ルレル	鲁莱尔	루레르	by rule
Rulikowski	ルリコヴスキ	鲁利科夫斯基	루리코우스키	by rule
Rumigny	ルミグニ	鲁米格尼	루믹니	by rule
Rumsalaningsih	ルムサラニングシ	鲁姆萨拉宁西	룸사라닝시흐	by rule
Runar	ルナル	鲁纳尔	루나르	by rule
Rundström	ルンドストロム	伦德斯特罗姆	룬드스트룀	by rule
Rune	ルネ	鲁内	루네	by rule
Runstorp	ルンストルプ	伦斯托尔普	룬스토르프	by rule
Ruo	ルオ	鲁奥	뤄	by rule
Rupert	ルパート	鲁珀特	루페르트	attested on Wikidata (ja 21x, zh 4x)
Ruperto	ルペルト	鲁佩尔托	루페르토	by rule
Ruprecht	ループレヒト	鲁普雷克特	루프레츠트	attested on Wikidata (ja 2x, zh 0x)
Rurik	リューリク	鲁里克	루리크	attested on Wikidata (ja 2x, zh 0x)
Rurikid	ルリキド	鲁里基德	루리키드	by rule
Rurikids	ルリキドス	鲁里基德斯	루리키드스	by rule
Ruriksson	ルリクソン	鲁里克松	루리크손	composed by rule: Rurik + -sson
Russel	ラッセル	拉塞尔	루셀	attested on Wikidata (ja 5x, zh 2x)
Russell	ラッセル	拉塞尔	루셀르	attested on Wikidata (ja 108x, zh 19x)
Russia	ルシア	鲁西阿	루시아	by rule
Rustad	ルスタド	鲁斯塔德	루스타드	by rule
Rustam	ルスタム	鲁斯塔姆	루스탐	by rule
Rustung	ルストング	鲁斯通	루스퉁	by rule
Rut	ルト	鲁特	루트	by rule
Rutberg	ルトベルグ	鲁特贝尔格	루트베르그	by rule
Rutger	ルトガー	鲁特盖尔	루트게르	attested on Wikidata (ja 3x)
Ruth	ルース	露丝	루트	attested on Wikidata (ja 68x, zh 9x)
Ruthenia	ルテニア	鲁特尼阿	루테니아	by rule
Ruthildis	ルティルディス	鲁蒂尔迪斯	루틸디스	by rule
Ruud	ルート	鲁乌德	루우드	attested on Wikidata (ja 4x, zh 0x)
RUVAL	ルヴァル	鲁瓦尔	루발	by rule
Ruy	ルイ	鲁伊	루이	by rule
Ruyat	ルヤト	鲁雅特	루야트	by rule
Ruyong	ルヨング	鲁永	루용	by rule
Ruyung	ルユング	鲁云	루융	by rule
Ruíz	ルイズ	鲁伊兹	루이즈	by rule
RVO	ルヴォ	尔沃	르보	by rule
Ryan	ライアン	瑞安	랸	attested on Wikidata (ja 57x, zh 8x)
Ryazan	リアザン	里阿赞	랴잔	by rule
Ryd	リド	里德	리드	by rule
Rydberg	リュードベリ	里德贝尔格	리드베르그	attested on Wikidata (ja 4x)
Rydhave	リドハヴェ	里德哈韦	리드하베	by rule
Ryding	リディング	里丁	리딩	by rule
Rydström	リドストロム	里德斯特罗姆	리드스트룀	by rule
Rye	リエ	里埃	례	by rule
Ryland	ライランド	里兰德	리란드	attested on Wikidata (ja 4x, zh 0x)
Ryning	リニング	里宁	리닝	by rule
Ryninge	リニンゲ	里宁盖	리니에	by rule
Ryokichi	リオキキ	里奥基基	료키치	by rule
Ryste	リステ	里斯特	리스테	by rule
Ryu	リュ	里乌	류	attested on Wikidata (ja 2x, zh 0x)
Ryurik	リウリク	里乌里克	류리크	by rule
Ryves	ライヴズ	里韦斯	리베스	attested on Wikidata (ja 6x, zh 0x)
Räisänen	レイセネン	雷伊塞嫩	레이세넨	by rule
Rännare	レナレ	雷纳雷	렌나레	by rule
Rådestad	ローデスタド	罗德斯塔德	로데스타드	by rule
Rådgerd	ロードゲルド	罗德盖尔德	로드게르드	by rule
Rålamb	ローラムブ	罗拉姆布	로람브	by rule
Ræder	レデル	雷德尔	래데르	by rule
Rénaud	レナウド	雷纳乌德	레나우드	by rule
Rí	リ	里	리	by rule
Rögnvaldsson	ログンヴァルドソン	罗格恩瓦尔德松	뢱느발드손	composed by rule: Rögnvald + -sson
Römischen	ロミシェン	罗米申	뢰미센	by rule
Rörik	ロリク	罗里克	뢰리크	by rule
Röriksson	ロリクソン	罗里克松	뢰리크손	composed by rule: Rörik + -sson
Rød	ロド	罗德	뢰드	by rule
Røde	ロデ	罗德	뢰데	by rule
Rødne	ロドネ	罗德内	뢰드네	by rule
Rødser	ロドセル	罗德塞尔	뢰드세르	by rule
Rødseth	ロドセト	罗德塞特	뢰드세트	by rule
Røed	ロエド	罗埃德	뢰에드	by rule
Røgelstad	ロゲルスタド	罗盖尔斯塔德	뢰겔스타드	by rule
Røgenes	ロゲネス	罗盖内斯	뢰게네스	by rule
Røgh	ログ	罗格	뢱	by rule
Røgle	ログレ	罗格莱	뢰그레	by rule
Rømer	ロメル	罗梅尔	뢰메르	by rule
Rømmen	ロメン	罗门	룀멘	by rule
Rønnaug	ロナウグ	罗纳乌格	뢴나욱	by rule
Rønneberg	レンネベルグ	伦内贝格	뢴네베르그	
Rønnevig	ロネヴィグ	罗内维格	뢴네빅	by rule
Rønning	ロニング	罗宁	뢴닝	by rule
Rønningen	ロニンゲン	罗宁根	뢴니엔	by rule
Rørbakken	ロルバケン	罗尔巴肯	뢰르바켄	by rule
Rørgo	ロルゴ	罗尔戈	뢰르고	by rule
Røyneberg	ロイネベルグ	罗伊内贝尔格	뢰이네베르그	by rule
Røysland	ロイスランド	罗伊斯兰德	뢰이스란드	by rule
Rûm	ルム	鲁姆	룸	by rule
Rüdenberg	リデンベルグ	里登贝尔格	뤼덴베르그	by rule
Rügen	リゲン	里根	뤼겐	by rule
